,thresholds,precision,recall,f1,queue_rate,train_iter
47,0.9400000000000001,0.9523809523809523,0.05747126436781609,0.10840108401084012,0.014904187366926898,1
48,0.96,0.9523809523809523,0.05747126436781609,0.10840108401084012,0.014904187366926898,1
49,0.98,0.9444444444444444,0.04885057471264368,0.09289617486338798,0.0127750177430802,1
50,1.0,0.8888888888888888,0.022988505747126436,0.04481792717086835,0.0063875088715401,1
0,0.0,0.24698367636621718,1.0,0.39612976664769495,1.0,2
1,0.02,0.2825370675453048,0.985632183908046,0.43918053777208704,0.8616039744499645,2
2,0.04,0.3031390134529148,0.9712643678160919,0.4620642515379358,0.7913413768630234,2
3,0.06,0.319047619047619,0.9626436781609196,0.4792560801144492,0.7452093683463449,2
4,0.08,0.3326488706365503,0.9310344827586207,0.49016641452344933,0.6912704045422285,2
5,0.1,0.3516483516483517,0.9195402298850575,0.5087440381558028,0.6458481192334989,2
6,0.12,0.36608187134502923,0.8994252873563219,0.5203657522859517,0.6068133427963094,2
7,0.14,0.38395061728395063,0.8936781609195402,0.53713298791019,0.5748757984386089,2
8,0.16,0.40131578947368424,0.8764367816091954,0.5505415162454874,0.5393896380411639,2
9,0.18,0.4072524407252441,0.8390804597701149,0.5483568075117371,0.5088715400993612,2
10,0.2,0.4199706314243759,0.8218390804597702,0.5558794946550049,0.48332150461320084,2
11,0.22,0.42879019908116384,0.8045977011494253,0.5594405594405594,0.46344925479063165,2
12,0.24,0.4453507340946166,0.7844827586206896,0.5681581685744017,0.4350603264726757,2
13,0.26,0.4565972222222222,0.7557471264367817,0.5692640692640693,0.4088005677785664,2
14,0.28,0.463768115942029,0.735632183908046,0.5688888888888889,0.39176721078779275,2
15,0.3,0.4797687861271676,0.7155172413793104,0.5743944636678201,0.3683463449254791,2
16,0.32,0.4928131416837782,0.6896551724137931,0.5748502994011976,0.3456352022711143,2
17,0.34,0.5076252723311547,0.6695402298850575,0.5774473358116482,0.3257629524485451,2
18,0.36,0.5174013921113689,0.6408045977011494,0.5725288831835686,0.3058907026259759,2
19,0.38,0.5272277227722773,0.6120689655172413,0.5664893617021277,0.2867281760113556,2
20,0.4,0.5356200527704486,0.5833333333333334,0.5584594222833562,0.2689850958126331,2
21,0.42,0.5454545454545454,0.5689655172413793,0.5569620253164557,0.2576295244854507,2
